X,USRINDEX Index,CONSSENT Index,LEI CEXP Index,ADS BCI Index,CFNAI Index,COI TOTL Index,LEI LCI Index,LEI YOY Index,OUSTDIFF Index,PHFFANX0 Index,S5FINL Index,MOODCAVG Index,MOODCBAA Index, MOODCAAA Index,USGG10YR Index,LEI BP Index,NHSLNFS Index,NHSLTOT Index,NMCMFUS Index,NAPMNEWO Index, NAPMINV Index,NAPMPMI Index,CRB RIND Index,ECRSUSCP Index,IPVPTRMH Index,LEI NWCN Index,USCRWTIC Index,DXY Index,GDP CYOY Index,LEI M2 Index,M1% YOY Index,CPI YOY Index,SPX Index,LEI STKP Index,TRAN Index,INJCJC4 Index,LEI AVGW Index,LEI WKIJ Index,NFP T Index,OUST#NEG Index,USESTEMP Index,DLJHYTW Index,LEI IRTE Index,USGG3M Index,USGG5YR Index
2/1/82,1,66.5,58.7,-0.5093,0.8194,59.4,NA,-4.9,-66,NA,NA,16.13,17.18,15.27,14.032,842,273,365,17.52,38.6,34.7,38.3,257.4,NA,0.21,85.59,NA,111.93,NA,3367.1,6.5,7.6,113.11,114.5,336.38,533.75,39.6,533.7,90562,36,NA,NA,-0.35,12.44,14.144
3/1/82,1,62,53.1,-1.2763,-1.5857,59.2,NA,-5.7,-66,86.06,NA,15.68,16.82,14.58,14.182,928,268,374,17.04,40.4,31.2,36.8,252.3,NA,0.21,87.13,NA,114.73,-2.4,3381.3,5.7,6.8,111.96,110.84,333.08,556.5,39.1,556.5,90432,37,NA,NA,-0.82,13.26,14.394
4/1/82,1,65.5,61.1,-1.1624,-1.6964,59.1,NA,-6.1,-62,NA,NA,15.53,16.78,14.46,13.872,925,264,339,16.81,40.9,31.5,37.8,246.4,NA,0.2,86.35,NA,111.6,NA,3412.6,4.6,6.5,116.44,116.31,343.13,586.5,39.1,586.7,90152,35,NA,NA,-1.07,12.34,13.904
5/1/82,1,67.5,62,-1.2308,-1.0201,59.1,NA,-6,-52,NA,NA,15.34,16.64,14.26,13.712,992,258,384,16.63,38.1,28.8,35.5,241.7,NA,0.22,87.04,NA,112.79,NA,3414.2,5.2,6.7,111.88,116.35,320.14,585.75,39.1,585.8,90107,33,NA,NA,-0.83,11.5,13.764
6/1/82,1,65.7,60.1,-1.5224,-1.795,58.8,NA,-6.2,-54,57.67,NA,15.77,16.92,14.81,14.442,951,252,370,16.73,42,29.4,38.3,233.7,NA,0.19,86.42,NA,119.04,-1.2,3409.5,5.2,7.1,109.61,109.7,320.59,599.5,39.2,596.9,89864,35,NA,NA,0.15,12.76,14.654
7/1/82,1,65.4,57.6,-1.645,-1.2614,58.6,NA,-5.1,-44,NA,NA,15.7,16.8,14.61,13.682,1088,249,375,16.65,40.7,29.5,38.4,239.1,NA,0.17,86.89,NA,119.05,NA,3403.7,4.9,6.4,107.09,109.38,308.68,570,39.2,569.7,89522,33,NA,NA,1.36,10.17,13.734
8/1/82,1,65.4,60.9,-1.479,-1.6714,58.5,NA,-5.5,-40,NA,NA,15.06,16.32,13.71,12.812,964,247,407,15.88,40.1,31.6,38.3,239.5,NA,0.14,84.97,NA,120.29,NA,3420.7,5.7,5.9,119.51,109.65,360.61,629.5,39,629.6,89364,34,NA,NA,2.94,8.42,12.654
9/1/82,1,69.3,66.9,-1.5186,-1.1574,58.4,NA,-3.4,-34,20.7,NA,14.34,15.63,12.94,11.732,1086,247,481,15.13,40.4,33.6,38.8,236.5,NA,0.11,85.98,NA,122.2,-2.6,3436.8,7,5,120.42,122.43,360.46,660.75,39,671.7,89183,27,NA,NA,2.03,7.62,11.524
10/1/82,1,73.4,70.4,-1.3521,-1.9755,58.1,NA,-2.4,-26,NA,NA,13.54,14.73,12.12,10.712,1197,246,480,14.15,41.9,32.5,39.4,234.4,NA,0.14,82.26,NA,124.78,NA,3438.3,8.4,5.1,133.71,132.66,420.19,641.75,38.9,641.8,88906,30,NA,NA,1.2,7.9,10.584
11/1/82,1,72.1,71,-0.8615,-1.0785,58.1,NA,-1.7,-8,NA,NA,13.08,14.3,11.68,10.792,1280,247,554,13.77,41.5,33.6,39.2,228.7,NA,0.15,82.32,NA,121,NA,3452.7,9.3,4.6,138.54,138.1,444.39,594.25,39,594.4,88783,24,NA,NA,1.35,8.28,10.374
