sec,date,sales,cur.asset,cash.and.st.invest,cur.liab,tot.debt,tot.asset,tot.invest,tot.liab,lt.debt,st.debt,lt.invest,st.invest,pref.stk,accts.rec,inventory,net.fixed.asset,cash,earnings
KITE US Equity,12/31/15,17.258,631.093,614.722,36.169,0,707.963,221.879,92.203,0,0,0,221.879,0,0,0,30.116,392.843,-101.653
IRWD US Equity,12/31/14,76.436,288.307,248.334,60.541,173.128,329.322,174.037,240.77,160.718,12.41,0,174.037,0,0.01,4.954,29.826,74.297,-189.618
IRWD US Equity,12/31/15,149.555,500.205,439.394,76.465,381.485,619.121,178.107,523.996,353.89,27.595,0,178.107,0,2.884,0,21.075,261.287,-142.669
ICPT US Equity,12/31/14,1.7412,245.8278,239.7238,15.2411,0,254.1489,219.7009,23.2584,0,0,0,219.7009,0,0,0,5.8518,20.0229,-283.2259
ICPT US Equity,12/31/15,2.7824,641.693,628.055,47.373,0,655.758,595.313,53.609,0,0,0,595.313,0,0,0,10.047,32.742,-226.4281
HUBS US Equity,12/31/14,115.877,149.509,123.721,59.428,0.178,174.858,0,64.159,0.078,0.1,0,0,0,14.27,0,11.381,123.721,-48.234
HUBS US Equity,12/31/15,181.944,145.754,104.552,91.307,0.819,220.379,89.538,98.671,0.277,0.542,40.566,48.972,0,25.142,0,18.161,55.58,-46.054
DM US Equity,12/31/14,313.3,226,175.4,31.8,0,2258.4,0,107.6,0,0,0,0,0,19.9,8.7,1971.9,175.4,66.3
DM US Equity,12/31/15,369.6,95.8,35,60,0,4125.2,0,484.2,0,0,0,0,0,27,12.5,3494.7,35,72.5
NBIX US Equity,12/31/14,0,198.203,193.809,15.664,0.467,243.033,200.287,34.334,0,0.467,37.492,162.795,0,0,0,2.507,31.014,-60.542
NBIX US Equity,12/31/15,19.769,384.074,379.191,25.715,0.428,474.785,387.484,50.331,0,0.428,82.488,304.996,0,0,0,3.432,74.195,-88.929
AL US Equity,12/31/14,1050.493,290.288,282.819,889.124,6630.758,10691.18,0,7919.118,6630.758,0,0,0,0,0,0,10098.407,282.819,255.998
AL US Equity,12/31/15,1222.84,173.203,156.675,1069.313,7712.421,12355.098,0,9335.186,7712.421,0,0,0,0,0,0,11884.51,156.675,253.391
RICE US Equity,12/31/14,383.306,592.491,256.13,436.675,900.68,3527.949,0,1562.781,900,0.68,0,0,0,199.9,0,2461.331,256.13,218.456
RICE US Equity,12/31/15,696.048,499.163,151.901,300.342,1457.222,3970.531,0,2066.063,1457.222,0,0,0,0,148.497,0,3243.131,151.901,-291.338
NVRO US Equity,12/31/14,32.573,201.125,176.808,10.798,19.511,202.496,151.521,30.426,19.511,0,0,151.521,0,6.61,14.856,0.647,25.287,-30.68
NVRO US Equity,12/31/15,69.606,282.631,193.67,36.389,19.74,291.183,106.634,56.591,19.74,0,0,106.634,0,22.522,62.43,5.794,87.036,-67.431
TRTN US Equity,12/31/14,650.442,260.323,79.132,567.614,3007.905,4242.047,219.872,3575.519,3007.905,0,219.872,0,0,85.681,0,3674.031,79.132,124.045
TRTN US Equity,12/31/15,670.199,259.817,58.907,552.576,3216.488,4434.076,177.737,3769.064,3216.488,0,177.737,0,0,95.709,0,3908.292,58.907,88.212
QTWO US Equity,12/31/14,79.129,104.522,88.935,32.404,0.575,136.806,20.956,57.866,0.167,0.408,0,20.956,0,5.007,0,18.521,67.979,-19.634
QTWO US Equity,12/31/15,108.867,133.218,110.62,45.693,0.161,204.468,43.571,86.494,0,0.161,0,43.571,0,9.009,0,24.44,67.049,-25.063
PRTA US Equity,12/31/14,50.854,299.108,293.579,12.039,0,304.116,0,14.227,0,0,0,0,0,0,0,3.121,293.579,-7.15
PRTA US Equity,12/31/15,1.607,377.403,370.586,22.216,0,385.236,0,24.567,0,0,0,0,0,0,0,3.862,370.586,-80.612
