ticker,x,n,D_s,D_l,vol,r
KSS UN Equity,38.43,183.7092,127,4581,42.77666681,0.5
KSU UN Equity,93.83,107.9835,356.1,2045,31.16318684,0.5
L UN Equity,40.2,337.1066,2080,8503,19.83349963,0.5
LB UN Equity,72.52,287.5024,6,5715,31.67326503,0.5
LEG UN Equity,51.25,134.326,3.4,945.4,21.22393366,0.5
LEN UN Equity,45.69,183.4056,0,5025.13,27.8248105,0.5
LH UN Equity,138.56,102.3,424.9,5992.1,21.07198617,0.5
LKQ UW Equity,34.36,307.1076,56.034,1528.668,29.48507387,0.5
LLL UN Equity,150.05,77.23983,499,3143,18.85311166,0.5
LLTC UW Equity,59.33,239.0982,0,0,38.47042751,0.5
LLY UN Equity,83.19,1103.843,6.1,7972.4,24.39273208,0.5
LM UN Equity,33.3,105.1107,40,1740.985,38.6438268,0.5
LMT UN Equity,255.05,302.9058,956,14305,14.80030239,0.5
LNC UN Equity,42.63,239.0071,0,5582,42.00408412,0.5
LNT UN Equity,40.28,227.1253,473.2,3522.2,18.48587527,0.5
LOW UN Equity,82.12,886.1047,1104,11545,22.08286705,0.5
LRCX UW Equity,89.71,159.5976,949.494,3591.133,29.01333614,0.5
LUK UN Equity,17.67,362.3302,310.659,7407.594,33.51785603,0.5
LUV UN Equity,35.65,620.2327,669,2865,34.50313766,0.5
LVLT UN Equity,48.99,357.9328,15,10994,32.78293867,0.5
LYB UN Equity,72.31,415.7219,357,7671,33.46055038,0.5
M UN Equity,33.36,308.3952,642,6995,35.52367113,0.5
MA UN Equity,95.07,1077.451,0,3287,23.37080287,0.5
MAC UN Equity,88.15,148.4927,659.13,4624.612,20.6429245,0.5
MAR UW Equity,70.13,254.4005,300,3807,29.10197085,0.5
MAS UN Equity,36.22,330.2146,1005,2418,27.33836939,0.5
MAT UW Equity,32.43,340.6191,316.914,1800,32.61202126,0.5
MCD UN Equity,117.7,877.8575,0,24122.1,16.37079916,0.5
MCHP UW Equity,54.705,215.0254,0,2483.037,26.24388226,0.5
MCK UN Equity,193.91,225.702,1619,6535,29.67428867,0.5
MCO UN Equity,104.21,192.3,0,2966.5,29.09863733,0.5
MDLZ UW Equity,42.99,1555.535,841,14557,28.21798979,0.5
MDT UN Equity,87.365,1393.525,993,30247,18.56915362,0.5
MET UN Equity,42.25,1098.667,5939,19517,34.71037622,0.5
MHK UN Equity,208.17,74.0913,2003.003,1196.928,25.96528375,0.5
MJN UN Equity,86.43,184.6588,3,2981,27.01436839,0.5
MKC UN Equity,101.63,115.0444,343,1052.7,18.02221306,0.5
MLM UN Equity,196.88,63.52717,31.919,1566.135,30.81140774,0.5
MMC UN Equity,65.93,518.2374,12,4402,17.10460244,0.5
MMM UN Equity,177.79,606.5145,2044,8753,17.84861459,0.5
MNK UN Equity,76,109.3255,22.3,6474.3,55.18591324,0.5
MNST UW Equity,158.01,203.0427,0,0,28.66210808,0.5
MO UN Equity,67.555,1953.855,4,12915,15.47340646,0.5
MON UN Equity,105.3,437.5755,615,8429,30.1055189,0.5
MOS UN Equity,27.295,350.195,68.5,3791.1,48.94665636,0.5
MPC UN Equity,38.76,529.8349,29,11896,48.39774931,0.5
MRK UN Equity,58.5,2768.025,2585,23929,18.40722868,0.5
MRO UN Equity,12.62,847.6483,1,7276,74.05915619,0.5
MS UN Equity,28.01,1937.024,129976,153768,37.29069432,0.5
MSFT UW Equity,56.65,7792.516,12904,40783,25.95496319,0.5
MSI UN Equity,68.63,174.6044,4,4386,21.32417862,0.5
MTB UN Equity,112.37,158.999,2132.182,10653.858,27.85322888,0.5
MU UW Equity,13.21,1038.391,1089,6252,56.23611173,0.5
MUR UN Equity,24.6,172.1952,18.881,3040.594,70.1102527,0.5
MYL UW Equity,46.35,508.3677,1078.3,6295.6,43.32016727,0.5
NAVI UW Equity,13.745,317.033,2570,124833,43.12219272,0.5
NBL UN Equity,34.25,429.5923,158,7976,47.21279976,0.5
NDAQ UW Equity,71.04,164.5147,0,2364,22.34796141,0.5
NEE UN Equity,127.46,461.9729,3006,26681,17.0193488,0.5
NEM UN Equity,45.59,530.5946,149,6087,49.84919485,0.5
NFLX UW Equity,93.14,428.7254,0,2371.362,48.38027804,0.5
NFX UN Equity,40.75,198.4853,0,2467,51.19014443,0.5
NI UN Equity,25.65,322.1853,1001.1,5948.5,19.09197249,0.5
NKE UN Equity,55.04,1348.661,45,2010,25.13317163,0.5
NLSN UN Equity,53.21,357.3458,310,7028,20.2278685,0.5
NOC UN Equity,217.7,178.5747,110,6416,16.85814053,0.5
NOV UN Equity,31.35,377.0609,2,3928,48.69656195,0.5
NRG UN Equity,13.6,314.908,481,18983,65.36729713,0.5
NSC UN Equity,87.4,293.5498,700,9393,32.23707663,0.5
NTAP UW Equity,26.09,280.0802,849,1490,31.57883722,0.5
NTRS UW Equity,66.22,226.5909,628.8,6923.8,30.65670192,0.5
NUE UN Equity,52.76,317.9287,51.315,4360.6,31.11002927,0.5
NVDA UW Equity,55.76,534,1413,97,35.04943834,0.5
NWL UN Equity,53.65,477.9517,388.8,2687.6,33.05407786,0.5
NWS UW Equity,13.12,199.6302,0,0,31.11702762,0.5
NWSA UW Equity,12.63,380.3539,0,0,32.38338346,0.5
O UN Equity,70.76,258.5694,3874.746,966.74,20.23118874,0.5
OI UN Equity,18.25,162.0821,228,5345,45.03801508,0.5
OKE UN Equity,43.26,210.1045,656.99,8323.582,61.39834326,0.5
OMC UN Equity,80.84,236.5383,1029.4,3599.4,20.112225,0.5
ORCL UN Equity,40.78,4122.73,3750,40105,22.18194009,0.5
ORLY UW Equity,287.67,96.45586,0,1390.018,22.97230716,0.5
OXY UN Equity,72.6,763.7415,1450,6883,28.77496729,0.5
PAYX UW Equity,59.18,360.532,0,0,19.62696464,0.5
PBCT UW Equity,14.86,310.861,374,4502.5,25.01678797,0.5
PBI UN Equity,18.34,188.6204,461.085,2507.912,33.46025535,0.5
PCAR UW Equity,57.99,350.4629,2796.5,5795,29.14273211,0.5
PCG UN Equity,63.81,498.5064,1179,16030,16.94216106,0.5
PCLN UW Equity,1329.14,49.63938,0,6158.443,33.83864035,0.5
PDCO UW Equity,48.77,99.19501,36.5,1022.155,23.23335271,0.5
PEG UN Equity,44.87,505.9165,1098,8834,18.49276903,0.5
PEP UN Equity,108.65,1439.158,4071,29213,14.33803967,0.5
PFE UN Equity,36.455,6064.849,10160,28818,18.68672323,0.5
PFG UN Equity,45.38,289.8527,181.1,3290.8,34.3656538,0.5
PG UN Equity,86.86,2661.852,11653,18945,14.68333792,0.5
PGR UN Equity,32.51,582.9965,0,2707.9,17.88173317,0.5
PH UN Equity,113.1,134.6815,223.142,2723.96,25.16558468,0.5
PHM UN Equity,21.05,343.62,0,2352.646,31.10339825,0.5
PKI UN Equity,55.51,109.0304,1.123,1011.762,27.26645444,0.5
PLD UN Equity,54.14,525.0807,8631.849,2994.982,22.41926225,0.5
PM UN Equity,99.98,1551.327,3230,25250,16.20335172,0.5
PNC UN Equity,81.73,499.3237,4570,49962,24.28064743,0.5
PNR UN Equity,61,181.0934,0.7,4709.3,29.71614284,0.5
PNW UN Equity,78.75,111.1748,357.58,3462.391,17.57210734,0.5
PPG UN Equity,103.7,266.2823,283,4042,24.38077412,0.5
PPL UN Equity,37.12,676.9452,1401,18563,19.03856471,0.5
PRGO UN Equity,91.25,143.2226,1018.3,4971.6,41.38825583,0.5
PRU UN Equity,73.83,442,9850,18975,33.03780519,0.5
PSA UN Equity,234.66,173.382,263.94,55.076,22.7471624,0.5
PSX UN Equity,76.13,522.8493,44,8843,27.85238893,0.5
PVH UN Equity,96.67,80.85645,162.5,3054.3,38.45151289,0.5
PWR UN Equity,25.1,144.1598,7.067,475.364,29.5394771,0.5
PX UN Equity,115.61,285.2316,256,8975,20.65339684,0.5
PXD UN Equity,156.7,169.6079,448,3207,42.18480137,0.5
PYPL UW Equity,36.6,1206.918,0,0,30.9700394,0.5
QCOM UW Equity,60.42,1473.648,1000,9969,33.71990823,0.5
QRVO UW Equity,61.9,127.8084,0,988.13,47.82311041,0.5
R UN Equity,62.54,53.47845,634.53,4883.326,40.79326117,0.5
RAI UN Equity,49.75,1427.341,506,16941,19.43356979,0.5
RCL UN Equity,67.09,215.2414,899.677,7767.378,43.26080425,0.5
REGN UW Equity,428.92,103.1655,0,0,40.36824815,0.5
RF UN Equity,8.88,1266.713,10,8349,37.09273116,0.5
RHI UN Equity,36.41,131.3186,0.153,1.007,36.0352803,0.5
RHT UN Equity,72.69,181.0961,0,723.942,28.63417894,0.5
RIG UN Equity,10.01,365.2017,1093,7397,69.81153253,0.5
RL UN Equity,94.44,57.26048,116,597,41.3825039,0.5
ROK UN Equity,112.56,130.2635,0,1500.9,25.01029905,0.5
ROP UN Equity,169.88,101.2009,6.805,3264.417,22.9404587,0.5
ROST UW Equity,60.93,399.5098,0,396.025,25.97319359,0.5
RRC UN Equity,38.61,170.0904,0,2651.303,68.58529389,0.5
RSG UN Equity,50.83,342.8453,5.5,7568.7,15.32584934,0.5
RTN UN Equity,140.89,295.095,0,5330,17.96881945,0.5
SBUX UW Equity,56.74,1466.6,0,2347.5,23.24641053,0.5
SCG UN Equity,75.15,142.9169,647,5882,17.51827489,0.5
SCHW UN Equity,27.9,1321.691,2588,2890,39.25082965,0.5
SE UN Equity,35.67,700.9096,1764,12892,33.30390893,0.5
SEE UN Equity,46.28,196.703,288.5,4302.7,30.09663174,0.5
SHW UN Equity,301.41,92.22171,42.616,1920.196,23.94096204,0.5
SIG UN Equity,84.74,78.00583,59.5,1328.7,38.28683151,0.5
SJM UN Equity,153.95,116.4263,284,5146,20.01334769,0.5
SLB UN Equity,78.23,1390.694,4557,14442,28.73680351,0.5
SLG UN Equity,116.05,100.2367,3413.244,7033.864,28.51453413,0.5
